"resource","column_name","data_type","row_count","not_null_proportion","distinct_proportion","distinct_count","is_unique","min","max","avg","median","profiled_at"
int_avg_revenue_per_customer_order_copilot,customer_id,integer,22558.000000,0.9999556698288855,0.9999556698288855,22557,false,"1","50000",24886.585006871483,"24819.0","2024-05-27 16:10:57.534+02"
int_avg_revenue_per_customer_order_copilot,avg_revenue_per_customer_order,double,22558.000000,1.0,0.9983154534976505,22520,false,"3049.12","236655.02",40720.86708839434,"35344.055","2024-05-27 16:10:57.534+02"
int_lineitem_revenue_copilot,region,integer,21551.000000,0.9999535984409076,0.9999535984409076,21550,false,"21","960392",479969.68361948954,"480494.5","2024-05-27 16:10:57.534+02"
int_lineitem_revenue_copilot,max_revenue_per_customer,"decimal(38,2)",21551.000000,1.0,0.9983759454317666,21516,false,"3176.39","236655.02",,"35485.63","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer_copilot,customer_id,integer,22558.000000,0.9999556698288855,0.9999556698288855,22557,false,"1","50000",24886.585006871483,"24819.0","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer_copilot,lineitems_bought,bigint,22558.000000,1.0,0.0026598102668676303,60,false,"7","89",15.940420250022164,"14.0","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation_copilot,nation,integer,21551.000000,0.9999535984409076,0.9999535984409076,21550,false,"21","960392",479969.68361948954,"480494.5","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation_copilot,total_orders,bigint,21551.000000,1.0,0.0003248109136467,7,false,"1","983",1.392046772771565,"1.0","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation_copilot,total_revenue,"decimal(38,2)",21551.000000,1.0,0.9984223469908589,21517,false,"3176.39","30546412.76",,"35618.71","2024-05-27 16:10:57.534+02"
int_item_sold_by_month_copilot,month,date,61.000000,1.0,1.0,61,true,"1998-01-01","2003-01-01",,"2000-07-01 00:00:00","2024-05-27 16:10:57.534+02"
int_item_sold_by_month_copilot,items_sold,bigint,61.000000,1.0,1.0,61,true,"858","12817",5893.3442622950815,"3826.0","2024-05-27 16:10:57.534+02"
int_avg_revenue_per_customer_order,customer_sk,integer,22558.000000,0.9999556698288855,0.9999556698288855,22557,false,"1","50000",24886.585006871483,"24819.0","2024-05-27 16:10:57.534+02"
int_avg_revenue_per_customer_order,avg_revenue_per_order,double,22558.000000,1.0,0.9974288500753613,22500,false,"1731.82","89860.11",27575.609232216324,"26456.9","2024-05-27 16:10:57.534+02"
int_item_sold_by_month,year,integer,184029.000000,1.0,0.0000326035570481,6,false,"1998","2003",2000.0211325388934,"2000.0","2024-05-27 16:10:57.534+02"
int_item_sold_by_month,month_seq,integer,184029.000000,1.0,0.0003314694966554,61,false,"1176","1236",1206.4457938694445,"1207.0","2024-05-27 16:10:57.534+02"
int_item_sold_by_month,item_id,varchar,184029.000000,1.0,0.024452667786055458,4500,false,AAAAAAAAAAABAAAA,AAAAAAAAPPPBAAAA,,AAAAAAAAIACBAAAA,"2024-05-27 16:10:57.534+02"
int_item_sold_by_month,item_desc,varchar,184029.000000,0.9963320998320917,0.036689869531432544,6752,false,A,"Youngsters decide well numbers. Just cold countries eat other, young eyes. Special ",,"Managerial, long sides coincide thus toxic, public companies. Meanwhile french schools examine a little simple experiments. Early different reasons can mean i","2024-05-27 16:10:57.534+02"
int_item_sold_by_month,total_quantity_sold,hugeint,184029.000000,0.9999510946644279,0.002972357617549408,547,false,"1","713",,"83.0","2024-05-27 16:10:57.534+02"
int_lineitem_revenue,city,varchar,7114.000000,0.9880517289850999,0.07618779870677538,542,false,Aberdeen,Youngstown,,Maple Grove,"2024-05-27 16:10:57.534+02"
int_lineitem_revenue,state,varchar,7114.000000,0.9731515321900478,0.007168962608940118,51,false,AK,WY,,MT,"2024-05-27 16:10:57.534+02"
int_lineitem_revenue,country,varchar,7114.000000,0.9558616811920158,0.0001405678942929,1,false,United States,United States,,United States,"2024-05-27 16:10:57.534+02"
int_lineitem_revenue,max_revenue,"decimal(38,2)",7114.000000,1.0,0.9924093337081811,7060,false,"0.00","23351911.14",,"2126382.20","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,customer_id,varchar,359454.000000,1.0,0.06275350948939225,22557,false,AAAAAAAAAAABAAAA,AAAAAAAAPPPKAAAA,,AAAAAAAAIALCAAAA,"2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,ws_order_number,integer,359454.000000,1.0,0.0834599142032082,30000,false,"1","30000",15001.432041373862,"14995.0","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,item_id,varchar,359454.000000,1.0,0.01251898713048123,4500,false,AAAAAAAAAAABAAAA,AAAAAAAAPPPBAAAA,,AAAAAAAAHPMAAAAA,"2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,item_desc,varchar,359454.000000,0.996461299637784,0.01878404469000206,6752,false,A,"Youngsters decide well numbers. Just cold countries eat other, young eyes. Special ",,"Male opportunities might not review optimistic roads; poor methods store of course white, grey charges. Proposed, back plans support national, level ","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,brand,varchar,359454.000000,0.9974210886511209,0.0019557439894951787,703,false,amalgamalg #1,univunivamalg #9,,exportibrand #6,"2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,class,varchar,359454.000000,0.9968229592659978,0.0002754177168706,99,false,accent,womens watch,,maternity,"2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,category,varchar,359454.000000,0.9967367173546545,0.0000278199714011,10,false,Books,Women,,Men,"2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,date,date,359454.000000,1.0,0.005071580786414951,1823,false,"1998-01-02","2003-01-02",,"2000-09-17 00:00:00","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,ws_quantity,integer,359454.000000,0.9999360140657776,0.0002781997140107,100,false,"1","100",50.48230675706881,"51.0","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,ws_wholesale_cost,"decimal(7,2)",359454.000000,0.9999443600571979,0.02754455368419881,9901,false,"1.00","100.00",,"50.63","2024-05-27 16:10:57.534+02"
int_lineitem_sold_per_customer,ws_sales_price,"decimal(7,2)",359454.000000,0.9999304500714973,0.06317080906040828,22707,false,"0.00","299.16",,"35.62","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,nation,varchar,341392.000000,0.9668123447532455,0.0006180578338098,211,false,AFGHANISTAN,ZIMBABWE,,LEBANON,"2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,year,integer,341392.000000,1.0,0.000017575104279,6,false,"1998","2003",2000.0019566949431,"2000.0","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,month,integer,341392.000000,1.0,0.0000351502085579,12,false,"1","12",8.08737463092281,"9.0","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,day,integer,341392.000000,1.0,0.0000908047054413,31,false,"1","31",15.760893635468904,"16.0","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,i_category,varchar,341392.000000,0.9965640671134649,0.0000292918404649,10,false,Books,Women,,Jewelry,"2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,i_class,varchar,341392.000000,0.9966548718189061,0.0002899892206027,99,false,accent,womens watch,,loose stones,"2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,i_brand,varchar,341392.000000,0.9972846463889019,0.0020592163846838824,703,false,amalgamalg #1,univunivamalg #9,,exportibrand #7,"2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,total_quantity,hugeint,341392.000000,0.9999414163190702,0.0008377466372967,286,false,"1","365",,"52.0","2024-05-27 16:10:57.534+02"
int_ordering_habits_per_nation,total_net_paid,"decimal(38,2)",341392.000000,0.9999443455031166,0.5755583024792614,196491,false,"0.00","34434.37",,"1202.07","2024-05-27 16:10:57.534+02"
