"resource","column_name","data_type","row_count","not_null_proportion","distinct_proportion","distinct_count","is_unique","min","max","avg","median","profiled_at"
mart_customer_data_copilot,nation,integer,49155.000000,0.9831756688027667,0.9582748448784457,47104,false,"4","960392",479838.9120592617,"478766.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,region,integer,49155.000000,0.9823415725765435,0.1463330281761774,7193,false,"1","7200",3601.5909458032183,"3605.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,total_customers,bigint,49155.000000,1.0,0.0000610314311871,3,false,"1","809",1.0171905197843556,"1.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,distinct_salutations,bigint,49155.000000,1.0,0.0000813752415827,4,false,"0","6",0.9746516122469738,"1.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,avg_birth_year,double,49155.000000,0.9741837046078731,0.001464754348489472,72,false,"1924.0","1992.0",1957.9979181017436,"1958.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,distinct_birth_countries,bigint,49155.000000,1.0,0.0000813752415827,4,false,"0","182",0.9782321228766148,"1.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,distinct_logins,bigint,49155.000000,1.0,0.0000406876207914,2,false,"0","1",0.9739599226935205,"1.0","2024-05-27 17:10:18.989+02"
mart_customer_data_copilot,distinct_email_addresses,bigint,49155.000000,1.0,0.0000813752415827,4,false,"0","425",0.9823212287661479,"1.0","2024-05-27 17:10:18.989+02"
mart_order_revenue_copilot,customer_id,integer,359494.000000,0.9998887324962308,0.0627465270630386,22557,false,"1","50000",24944.959265997873,"24942.0","2024-05-27 17:10:18.989+02"
mart_order_revenue_copilot,item_id,integer,359494.000000,1.0,0.025035188348067006,9000,false,"1","9000",4494.277342598208,"4500.0","2024-05-27 17:10:18.989+02"
mart_order_revenue_copilot,month,date,359494.000000,1.0,0.000169682943248,61,false,"1998-01-01","2003-01-01",,"2000-09-01 00:00:00","2024-05-27 17:10:18.989+02"
mart_order_revenue_copilot,total_revenue,"decimal(38,2)",359494.000000,0.9999082043093904,0.526573461587676,189300,false,"0.00","28592.19",,"1349.04","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date_copilot,region,integer,28073.000000,0.9995725430128594,0.7676415060734514,21550,false,"21","960392",479304.78083461034,"478080.0","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date_copilot,month,integer,28073.000000,1.0,0.0004274569871407,12,false,"1","12",8.059737113952908,"9.0","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date_copilot,items_sold,bigint,28073.000000,1.0,0.0016029637017775087,45,false,"7","2014",12.804260321305168,"12.0","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date,region,integer,505.000000,1.0,1.0,505,true,"129","49646",24941.59603960396,"25348.0","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date,customer_id,integer,505.000000,1.0,1.0,505,true,"129","49646",24941.59603960396,"25348.0","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date,lineitems_bought,bigint,505.000000,1.0,0.07524752475247524,38,false,"8","56",16.31287128712871,"14.0","2024-05-27 17:10:18.989+02"
mart_sold_items_by_region_with_date,max_revenue_per_customer,"decimal(38,2)",505.000000,1.0,1.0,505,true,"3176.39","168134.59",,"35874.16","2024-05-27 17:10:18.989+02"
mart_order_revenue,city,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,state,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,country,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,max_revenue,"decimal(38,2)",0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,nation,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,year,integer,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,month,integer,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,day,integer,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,i_category,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,i_class,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,i_brand,varchar,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,total_quantity,hugeint,0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,total_net_paid,"decimal(38,2)",0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,total_net_paid_inc_tax,"decimal(38,2)",0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,total_net_paid_inc_ship,"decimal(38,2)",0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_order_revenue,total_net_paid_inc_ship_tax,"decimal(38,2)",0.000000,,,0,true,,,,,"2024-05-27 17:10:18.989+02"
mart_customer_data,nation,varchar,341392.000000,0.9668123447532455,0.0006180578338098,211,false,AFGHANISTAN,ZIMBABWE,,LEBANON,"2024-05-27 17:10:18.989+02"
mart_customer_data,year,integer,341392.000000,1.0,0.000017575104279,6,false,"1998","2003",2000.0019566949431,"2000.0","2024-05-27 17:10:18.989+02"
mart_customer_data,month,integer,341392.000000,1.0,0.0000351502085579,12,false,"1","12",8.08737463092281,"9.0","2024-05-27 17:10:18.989+02"
mart_customer_data,day,integer,341392.000000,1.0,0.0000908047054413,31,false,"1","31",15.760893635468904,"16.0","2024-05-27 17:10:18.989+02"
mart_customer_data,i_category,varchar,341392.000000,0.9965640671134649,0.0000292918404649,10,false,Books,Women,,Jewelry,"2024-05-27 17:10:18.989+02"
mart_customer_data,i_class,varchar,341392.000000,0.9966548718189061,0.0002899892206027,99,false,accent,womens watch,,loose stones,"2024-05-27 17:10:18.989+02"
mart_customer_data,i_brand,varchar,341392.000000,0.9972846463889019,0.0020592163846838824,703,false,amalgamalg #1,univunivamalg #9,,exportibrand #7,"2024-05-27 17:10:18.989+02"
mart_customer_data,total_quantity,hugeint,341392.000000,0.9999414163190702,0.0008377466372967,286,false,"1","365",,"52.0","2024-05-27 17:10:18.989+02"
mart_customer_data,total_net_paid,"decimal(38,2)",341392.000000,0.9999443455031166,0.5755583024792614,196491,false,"0.00","34434.37",,"1202.07","2024-05-27 17:10:18.989+02"
mart_customer_data,total_net_paid_inc_tax,"decimal(38,2)",341392.000000,0.9999502038712096,0.6679271922013404,228025,false,"0.00","35991.02",,"1255.23","2024-05-27 17:10:18.989+02"
mart_customer_data,total_net_paid_inc_ship,"decimal(38,2)",341392.000000,1.0,0.6841578010029526,233566,false,"0.00","47833.87",,"2244.15","2024-05-27 17:10:18.989+02"
