"resource","column_name","data_type","row_count","not_null_proportion","distinct_proportion","distinct_count","is_unique","min","max","avg","median","profiled_at"
stg_tpcds_catalog_page,catalog_page_sk,integer,11718.000000,1.0,1.0,11718,true,"1","11718",5859.5,"5859.5","2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,catalog_page_id,varchar,11718.000000,1.0,1.0,11718,true,AAAAAAAAAAABAAAA,AAAAAAAAPPPBAAAA,,AAAAAAAAHPOAAAAA,"2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,start_date_sk,integer,11718.000000,0.9913807817033623,0.007765830346475508,91,false,"2450815","2453005",2451882.888783679,"2451910.0","2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,end_date_sk,integer,11718.000000,0.9907834101382489,0.008277863116572795,97,false,"2450844","2453186",2451942.887683032,"2451939.0","2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,department,varchar,11718.000000,0.9912954429083461,0.0000853387950162,1,false,DEPARTMENT,DEPARTMENT,,DEPARTMENT,"2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,catalog_number,integer,11718.000000,0.9897593445980543,0.009301928656767367,109,false,"1","109",54.7319365407829,"55.0","2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,catalog_page_number,integer,11718.000000,0.9911247653183137,0.009216589861751152,108,false,"1","108",54.42672636473222,"54.0","2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,description,varchar,11718.000000,0.9901006997781191,0.9901006997781191,11602,false,"A bit important centres obtain so letters. Very, thin musicians require ","Youngsters must provide other, intermediate clouds. Yesterday whole cars h",,"Men can lose. Effects ought to work instead intellectual, occupational r","2024-05-27 15:12:45.639+02"
stg_tpcds_catalog_page,type,varchar,11718.000000,0.9906980713432326,0.0002560163850486,3,false,bi-annual,quarterly,,monthly,"2024-05-27 15:12:45.639+02"
stg_tpcds_ship_mode,ship_mode_sk,integer,20.000000,1.0,1.0,20,true,"1","20",10.5,"10.5","2024-05-27 15:12:45.639+02"
stg_tpcds_ship_mode,ship_mode_id,varchar,20.000000,1.0,1.0,20,true,AAAAAAAAABAAAAAA,AAAAAAAAPAAAAAAA,,AAAAAAAAFAAAAAAA,"2024-05-27 15:12:45.639+02"
stg_tpcds_ship_mode,type,varchar,20.000000,1.0,0.3,6,false,EXPRESS,TWO DAY,,NEXT DAY,"2024-05-27 15:12:45.639+02"
stg_tpcds_ship_mode,code,varchar,20.000000,1.0,0.2,4,false,AIR,SURFACE,,SEA,"2024-05-27 15:12:45.639+02"
stg_tpcds_ship_mode,carrier,varchar,20.000000,1.0,1.0,20,true,AIRBORNE,ZOUROS,,HARMSTORF,"2024-05-27 15:12:45.639+02"
stg_tpcds_ship_mode,contract,varchar,20.000000,1.0,1.0,20,true,"2mM8l",yVfotg7Tio3MVhBg6Bkn,,OrDuVy2H,"2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,returned_date_sk,integer,143833.000000,0.9641181091960815,0.013905014843603345,2000,false,"2450821","2452822",2451869.9866519556,"2451889.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,return_time_sk,integer,143833.000000,0.9646325947452948,0.2223968074085919,31988,false,"28799","61199",45008.84861545558,"44970.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,item_sk,integer,143833.000000,1.0,0.06255866178137146,8998,false,"1","9000",4496.737229981993,"4492.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,customer_sk,integer,143833.000000,0.9650566976980248,0.30146072180932054,43360,false,"1","50000",24889.192655989973,"24851.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,cdemo_sk,integer,143833.000000,0.9644587820597499,0.897040317590539,129024,false,"10","960395",480649.71421053767,"480842.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,hdemo_sk,integer,143833.000000,0.9651053652499774,0.05005805343697205,7200,false,"1","7200",3604.9200729033096,"3609.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,addr_sk,integer,143833.000000,0.9644031620003755,0.17316610235481428,24907,false,"1","25000",12494.679568605683,"12516.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,store_sk,integer,143833.000000,0.9644657345671717,0.0000208575222654,3,false,"1","4",2.326256830207177,"2.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,reason_sk,integer,143833.000000,0.9649176475495888,0.0001181926261706,17,false,"1","17",8.99626766195681,"9.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,ticket_number,integer,143833.000000,1.0,0.589391864175815,84774,false,"1","120000",60095.283926498094,"60175.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,return_quantity,integer,143833.000000,0.9643266844187356,0.0006952507421802,100,false,"1","100",25.8284018975934,"20.0","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,return_amt,"decimal(7,2)",143833.000000,0.9647785974011527,0.5185527660550777,74585,false,"0.00","17202.21",,"398.43","2024-05-27 15:12:45.639+02"
stg_tpcds_store_returns,return_tax,"decimal(7,2)",143833.000000,0.9645769746859205,0.15356698393275534,22088,false,"0.00","1442.07",,"12.24","2024-05-27 15:12:45.639+02"
