"parent","child"
int_lineitem_revenue,mart_order_revenue
int_lineitem_revenue,mart_customer_data
int_lineitem_revenue_copilot,mart_sold_items_by_region_with_date
int_lineitem_sold_per_customer_copilot,mart_sold_items_by_region_with_date
int_ordering_habits_per_nation,mart_order_revenue
int_ordering_habits_per_nation,mart_customer_data
stg_customer,int_lineitem_revenue_copilot
stg_customer,mart_sold_items_by_region_with_date_copilot
stg_customer,int_ordering_habits_per_nation_copilot
stg_customer,int_lineitem_sold_per_customer
stg_customer,int_lineitem_revenue
stg_customer,mart_sold_items_by_region_with_date
stg_customer,mart_order_revenue
stg_customer,mart_customer_data
stg_customer_copilot,int_ordering_habits_per_nation
stg_customer_copilot,mart_customer_data_copilot
stg_customer_copilot,mart_order_revenue
stg_customer_copilot,mart_customer_data
stg_item,int_lineitem_sold_per_customer
stg_item,int_item_sold_by_month
stg_item_copilot,int_ordering_habits_per_nation
stg_item_copilot,mart_order_revenue
stg_item_copilot,mart_customer_data
stg_tpcds_customer_address,int_lineitem_revenue
stg_tpcds_customer_address,mart_order_revenue
stg_tpcds_customer_address,mart_customer_data
stg_tpcds_date_dim,int_item_sold_by_month
stg_tpcds_date_dim,int_item_sold_by_month_copilot
stg_tpcds_date_dim,mart_sold_items_by_region_with_date_copilot
stg_tpcds_date_dim,int_lineitem_sold_per_customer
stg_tpcds_date_dim,int_ordering_habits_per_nation
stg_tpcds_date_dim,mart_order_revenue_copilot
stg_tpcds_date_dim,mart_order_revenue
stg_tpcds_date_dim,mart_customer_data
stg_tpcds_store_sales,int_lineitem_revenue
stg_tpcds_store_sales,mart_customer_data
stg_tpcds_store_sales,mart_order_revenue
stg_web_sales,mart_order_revenue_copilot
stg_web_sales,int_lineitem_sold_per_customer
stg_web_sales,int_lineitem_revenue
stg_web_sales,mart_sold_items_by_region_with_date_copilot
stg_web_sales,int_ordering_habits_per_nation_copilot
stg_web_sales,int_item_sold_by_month
stg_web_sales,int_lineitem_sold_per_customer_copilot
stg_web_sales,int_lineitem_revenue_copilot
stg_web_sales,int_avg_revenue_per_customer_order
stg_web_sales,int_item_sold_by_month_copilot
stg_web_sales,mart_sold_items_by_region_with_date
stg_web_sales,mart_sold_items_by_region_with_date
stg_web_sales,mart_order_revenue
stg_web_sales,mart_customer_data
stg_web_sales_copilot,int_ordering_habits_per_nation
stg_web_sales_copilot,int_avg_revenue_per_customer_order_copilot
stg_web_sales_copilot,mart_order_revenue
stg_web_sales_copilot,mart_customer_data
