"resource","column_name","data_type","row_count","not_null_proportion","distinct_proportion","distinct_count","is_unique","min","max","avg","median","profiled_at"
mart_customers,customer_id,bigint,13290252.000000,1.0,0.005643233852902112,75000,false,"1","75000",37490.036523686686,"37465.0","2024-05-13 05:08:14.848+02"
mart_customers,customer_name,varchar,13290252.000000,1.0,0.005643233852902112,75000,false,Customer#000000001,Customer#000075000,,Customer#000037465,"2024-05-13 05:08:14.848+02"
mart_customers,customer_address,varchar,13290252.000000,1.0,0.005643233852902112,75000,false,"   5L06W67,Mw8G",zzxGktzXTMKS1BxZlgQ9nqQ,,U4iVZwi2xWk8,"2024-05-13 05:08:14.848+02"
mart_customers,nation_id,bigint,13290252.000000,1.0,0.000001881077951,25,false,"0","24",11.990463988192248,"12.0","2024-05-13 05:08:14.848+02"
mart_customers,customer_phone,varchar,13290252.000000,1.0,0.005643233852902112,75000,false,"10-100-106-1617","34-999-535-1203",,"22-493-570-6172","2024-05-13 05:08:14.848+02"
mart_customers,account_balance,double,13290252.000000,1.0,0.005450686713841092,72441,false,-999.98,"9999.99",4484.605052099803,"4450.7","2024-05-13 05:08:14.848+02"
mart_customers,market_segment,varchar,13290252.000000,1.0,0.0000003762155902,5,false,AUTOMOBILE,MACHINERY,,FURNITURE,"2024-05-13 05:08:14.848+02"
mart_customers,customer_comment,varchar,13290252.000000,1.0,0.005642857637311919,74995,false," Tiresias along the blithely regular packages affix boldly express, pending packag",zzle. blithely regular instructions cajol,,ironic sentiments wake quickly about the furious ideas. slyly bold accounts sleep carefully. slyly p,"2024-05-13 05:08:14.848+02"
mart_customers,total_orders_value,double,13290252.000000,0.9981187715627966,0.055745970806272145,740878,false,"834.3","512267.69",146183.3497004335,"139637.16","2024-05-13 05:08:14.848+02"
mart_customers,last_order_date,date,13290252.000000,0.9981187715627966,0.0001810349420011,2406,false,"1992-01-01","1998-08-02",,"1995-04-21 00:00:00","2024-05-13 05:08:14.848+02"
mart_customers,total_revenue,double,13290252.000000,0.9981187715627966,0.0037618549294625866,49996,false,"8131.92","6311825.6099999985",2910043.6055185944,"2937435.4000000004","2024-05-13 05:08:14.848+02"
mart_customers,total_lineitems,bigint,13290252.000000,0.9981187715627966,0.0000005267018263,7,false,"1","7",4.000737716967264,"4.0","2024-05-13 05:08:14.848+02"
mart_customers,total_quantity_ordered,hugeint,13290252.000000,0.9981187715627966,0.0000236263390642,314,false,"1","327",,"98.0","2024-05-13 05:08:14.848+02"
