"table_schema","table_name","column_name","is_nullable","data_type"
tpch,tpch_customer,CUSTKEY,YES,BIGINT
tpch,tpch_customer,NAME,YES,VARCHAR
tpch,tpch_customer,ADDRESS,YES,VARCHAR
tpch,tpch_customer,NATIONKEY,YES,BIGINT
tpch,tpch_customer,PHONE,YES,VARCHAR
tpch,tpch_customer,ACCTBAL,YES,DOUBLE
tpch,tpch_customer,MKTSEGMENT,YES,VARCHAR
tpch,tpch_customer,COMMENT,YES,VARCHAR
tpch,tpch_lineitem,ORDERKEY,YES,BIGINT
tpch,tpch_lineitem,PARTKEY,YES,BIGINT
tpch,tpch_lineitem,SUPPKEY,YES,BIGINT
tpch,tpch_lineitem,LINENUMBER,YES,BIGINT
tpch,tpch_lineitem,QUANTITY,YES,BIGINT
tpch,tpch_lineitem,EXTENDEDPRICE,YES,DOUBLE
tpch,tpch_lineitem,DISCOUNT,YES,DOUBLE
tpch,tpch_lineitem,TAX,YES,DOUBLE
tpch,tpch_lineitem,RETURNFLAG,YES,VARCHAR
tpch,tpch_lineitem,LINESTATUS,YES,VARCHAR
tpch,tpch_lineitem,SHIPDATE,YES,DATE
tpch,tpch_lineitem,COMMITDATE,YES,DATE
tpch,tpch_lineitem,RECEIPTDATE,YES,DATE
tpch,tpch_lineitem,SHIPINSTRUCT,YES,VARCHAR
tpch,tpch_lineitem,SHIPMODE,YES,VARCHAR
tpch,tpch_lineitem,COMMENT,YES,VARCHAR
tpch,tpch_orders,ORDERKEY,YES,BIGINT
tpch,tpch_orders,CUSTKEY,YES,BIGINT
tpch,tpch_orders,ORDERSTATUS,YES,VARCHAR
tpch,tpch_orders,TOTALPRICE,YES,DOUBLE
tpch,tpch_orders,ORDERDATE,YES,DATE
tpch,tpch_orders,ORDERPRIORITY,YES,VARCHAR
tpch,tpch_orders,SHIPPRIORITY,YES,VARCHAR
tpch,tpch_orders,CLERK,YES,BIGINT
tpch,tpch_orders,COMMENT,YES,VARCHAR
tpch,tpch_nation,NATIONKEY,YES,BIGINT
tpch,tpch_nation,NAME,YES,VARCHAR
tpch,tpch_nation,REGIONKEY,YES,BIGINT
tpch,tpch_nation,COMMENT,YES,VARCHAR
tpch,tpch_part,PARTKEY,YES,BIGINT
tpch,tpch_part,NAME,YES,VARCHAR
tpch,tpch_part,MFGR,YES,VARCHAR
tpch,tpch_part,BRAND,YES,VARCHAR
tpch,tpch_part,TYPE,YES,VARCHAR
tpch,tpch_part,SIZE,YES,BIGINT
tpch,tpch_part,CONTAINER,YES,VARCHAR
tpch,tpch_part,RETAILPRICE,YES,DOUBLE
tpch,tpch_part,COMMENT,YES,VARCHAR
tpch,tpch_partsupp,PARTKEY,YES,BIGINT
tpch,tpch_partsupp,SUPPKEY,YES,BIGINT
tpch,tpch_partsupp,AVAILQTY,YES,BIGINT
tpch,tpch_partsupp,SUPPLYCOST,YES,DOUBLE
tpch,tpch_partsupp,COMMENT,YES,VARCHAR
tpch,tpch_region,REGIONKEY,YES,BIGINT
tpch,tpch_region,NAME,YES,VARCHAR
tpch,tpch_region,COMMENT,YES,VARCHAR
tpch,tpch_supplier,SUPPKEY,YES,BIGINT
tpch,tpch_supplier,NAME,YES,VARCHAR
tpch,tpch_supplier,ADDRESS,YES,VARCHAR
tpch,tpch_supplier,NATIONKEY,YES,BIGINT
tpch,tpch_supplier,PHONE,YES,VARCHAR
tpch,tpch_supplier,ACCTBAL,YES,DOUBLE
tpch,tpch_supplier,COMMENT,YES,VARCHAR
