"resource","column_name","data_type","row_count","not_null_proportion","distinct_proportion","distinct_count","is_unique","min","max","avg","median","profiled_at"
stg_tpch_customer,customer_id,bigint,75000.000000,1.0,1.0,75000,true,"1","75000",37500.5,"37500.5","2024-05-20 22:12:03.803+02"
stg_tpch_customer,customer_name,varchar,75000.000000,1.0,1.0,75000,true,Customer#000000001,Customer#000075000,,Customer#000037500,"2024-05-20 22:12:03.803+02"
stg_tpch_customer,customer_address,varchar,75000.000000,1.0,1.0,75000,true,"   5L06W67,Mw8G",zzxGktzXTMKS1BxZlgQ9nqQ,,TtNMuZo2X haFniLoH038Dl,"2024-05-20 22:12:03.803+02"
stg_tpch_customer,nation_id,bigint,75000.000000,1.0,0.0003333333333333,25,false,"0","24",12.01196,"12.0","2024-05-20 22:12:03.803+02"
stg_tpch_customer,customer_phone,varchar,75000.000000,1.0,1.0,75000,true,"10-100-106-1617","34-999-535-1203",,"22-550-255-3147","2024-05-20 22:12:03.803+02"
stg_tpch_customer,account_balance,double,75000.000000,1.0,0.96588,72441,false,-999.98,"9999.99",4488.880599600011,"4459.860000000001","2024-05-20 22:12:03.803+02"
stg_tpch_customer,market_segment,varchar,75000.000000,1.0,0.0000666666666667,5,false,AUTOMOBILE,MACHINERY,,FURNITURE,"2024-05-20 22:12:03.803+02"
stg_tpch_customer,customer_comment,varchar,75000.000000,1.0,0.9999333333333333,74995,false," Tiresias along the blithely regular packages affix boldly express, pending packag",zzle. blithely regular instructions cajol,,ironic ideas. regular dependencies cajole slyly ironic excuses. even dinos nag. ironic excuses haggle blithely,"2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,order_id,bigint,2999671.000000,1.0,0.25002741967369085,750000,false,"1","3000000",1499746.8740265183,"1500257.0","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,part_id,bigint,2999671.000000,1.0,0.03333698928982545,100000,false,"1","100000",50007.677431625,"49983.0","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,supplier_id,bigint,2999671.000000,1.0,0.0016668494644912725,5000,false,"1","5000",2500.0124050270847,"2501.0","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,line_number,bigint,2999671.000000,1.0,0.0000023335892503,7,false,"1","7",3.000035003838754,"3.0","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,quantity,bigint,2999671.000000,1.0,0.0000166684946449,50,false,"1","50",25.509544880088516,"26.0","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,extended_price,double,2999671.000000,1.0,0.16536913548185783,496053,false,"901.0","99949.5",36979.967476303034,"35448.4","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,discount,double,2999671.000000,1.0,0.0000036670688219,11,false,"0.0","0.1",0.05001356482094762,"0.05","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,tax,double,2999671.000000,1.0,0.0000030003290361,9,false,"0.0","0.08",0.04001306143245774,"0.04","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,return_flag,varchar,2999671.000000,1.0,0.0000010001096787,3,false,A,R,,N,"2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,line_status,varchar,2999671.000000,1.0,0.0000006667397858,2,false,F,O,,O,"2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,ship_date,date,2999671.000000,1.0,0.000842092349461,2526,false,"1992-01-02","1998-12-01",,"1995-06-19 00:00:00","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,commit_date,date,2999671.000000,1.0,0.0008220901558871,2466,false,"1992-01-31","1998-10-31",,"1995-06-18 00:00:00","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,receipt_date,date,2999671.000000,1.0,0.0008510933365692,2553,false,"1992-01-04","1998-12-31",,"1995-07-04 00:00:00","2024-05-20 22:12:03.803+02"
stg_tpch_lineitem,ship_instruct,varchar,2999671.000000,1.0,0.0000013334795716,4,false,COLLECT COD,TAKE BACK RETURN,,NONE,"2024-05-20 22:12:03.803+02"
