"parent","child"
int_customers_enriched,int_orders_enriched
int_customers_enriched,int_ordering_habits_per_nation
int_customers_enriched,mart_order_revenue
int_customers_enriched,mart_orders
int_customers_enriched,mart_customers_orders_suppliers
int_customers_enriched,mart_orders
int_customers_enriched,mart_order_revenue
int_customers_ordering_habits,int_ordering_habits_per_nation
int_customers_ordering_habits,mart_customers
int_customers_orders_analyzed,int_customers_ordering_habits
int_customers_orders_analyzed,int_avg_revenue_per_customer_order
int_customers_orders_analyzed,mart_customers
int_customers_orders_analyzed,mart_customers
int_customers_orders_analyzed,int_ordering_habits_per_nation
int_lineitems_aggregated_by_nation,int_ordering_habits_per_nation
int_orders_aggregated,mart_customers_orders_suppliers
int_orders_aggregated,mart_customers
int_orders_enriched,mart_order_revenue
int_orders_enriched,mart_orders
int_parts_and_orders,int_parts_and_orders_enriched
int_parts_and_orders,mart_sold_parts_by_region_with_date
int_parts_and_orders_enriched,mart_sold_parts_by_region_with_date
int_regions_and_nations,mart_sold_parts_by_region_with_date
int_regions_and_nations,mart_customer_data
int_revenue_per_customer,mart_customers
int_revenue_per_customer,int_avg_revenue_per_customer_order
int_revenue_per_customer,int_lineitem_revenue
int_suppliers_aggregated,mart_customers_orders_suppliers
int_suppliers_enriched,mart_orders
stg_customer_copilot,mart_order_revenue_copilot
stg_customer_copilot,mart_sold_parts_by_region_with_date_copilot
stg_customer_copilot,mart_customer_data_copilot
stg_orders_copilot,mart_order_revenue_copilot
stg_orders_copilot,mart_sold_parts_by_region_with_date_copilot
stg_orders_copilot,mart_customer_data_copilot
stg_part_copilot,mart_sold_parts_by_region_with_date_copilot
stg_part_copilot,mart_order_revenue_copilot
stg_tpch_customer,mart_customer_data
stg_tpch_customer,int_customers_aggregated_orders
stg_tpch_customer,int_customers_aggregated_orders_2
stg_tpch_customer,int_customers_enriched
stg_tpch_customer,int_lineitem_revenue_copilot
stg_tpch_customer,int_avg_revenue_per_customer_order_copilot
stg_tpch_customer,int_ordering_habits_per_nation_copilot
stg_tpch_customer,int_lineitems_aggregated_by_nation
stg_tpch_customer,int_customers_orders_analyzed
stg_tpch_customer,int_revenue_model_example
stg_tpch_customer,int_revenue_per_customer
stg_tpch_customer,mart_customers
stg_tpch_customer,int_lineitem_sold_per_customer
stg_tpch_customer,int_lineitem_revenue
stg_tpch_customer,mart_customers
stg_tpch_customer,mart_customers
stg_tpch_customer,int_ordering_habits_per_nation
stg_tpch_customer,int_orders_enriched
stg_tpch_customer,mart_customers_orders_suppliers
stg_tpch_customer,int_avg_revenue_per_customer_order
stg_tpch_customer,int_ordering_habits_per_nation
stg_tpch_customer,mart_orders
stg_tpch_customer,int_avg_revenue_per_customer_order
stg_tpch_customer,mart_order_revenue
stg_tpch_customer,int_customers_ordering_habits
stg_tpch_customer,mart_customers
stg_tpch_customer,mart_orders
stg_tpch_customer,mart_order_revenue
stg_tpch_customer,int_ordering_habits_per_nation
stg_tpch_lineitem,int_customers_orders_analyzed
stg_tpch_lineitem,mart_order_revenue_copilot
stg_tpch_lineitem,int_revenue_model_example
stg_tpch_lineitem,int_lineitem_sold_per_customer_copilot
stg_tpch_lineitem,int_lineitem_sold_per_customer
stg_tpch_lineitem,int_parts_and_orders
stg_tpch_lineitem,int_ordering_habits_per_nation_copilot
stg_tpch_lineitem,mart_sold_parts_by_region_with_date_copilot
stg_tpch_lineitem,int_lineitems_aggregated_by_nation
stg_tpch_lineitem,int_orders_aggregated
stg_tpch_lineitem,mart_orders
stg_tpch_lineitem,int_customers_ordering_habits
stg_tpch_lineitem,int_ordering_habits_per_nation
stg_tpch_lineitem,mart_customers_orders_suppliers
stg_tpch_lineitem,mart_customers
stg_tpch_lineitem,mart_customers
stg_tpch_lineitem,int_avg_revenue_per_customer_order
stg_tpch_lineitem,int_parts_and_orders_enriched
stg_tpch_lineitem,mart_sold_parts_by_region_with_date
stg_tpch_lineitem,mart_customers
stg_tpch_lineitem,int_ordering_habits_per_nation
stg_tpch_nation,mart_sold_parts_by_region_with_date_copilot
stg_tpch_nation,mart_customer_data_copilot
stg_tpch_nation,int_ordering_habits_per_nation_copilot
stg_tpch_nation,int_parts_and_suppliers_by_region_copilot
stg_tpch_nation,int_avg_revenue_per_customer_order_copilot
stg_tpch_nation,int_lineitem_revenue_copilot
stg_tpch_nation,int_suppliers_enriched
stg_tpch_nation,int_parts_and_suppliers_by_region
stg_tpch_nation,int_lineitems_aggregated_by_nation
stg_tpch_nation,int_suppliers_aggregated
stg_tpch_nation,int_revenue_per_customer
stg_tpch_nation,int_regions_and_nations
stg_tpch_nation,int_customers_enriched
stg_tpch_nation,mart_sold_parts_by_region_with_date
stg_tpch_nation,mart_customer_data
stg_tpch_nation,int_ordering_habits_per_nation
stg_tpch_nation,int_lineitem_revenue
stg_tpch_nation,int_avg_revenue_per_customer_order
stg_tpch_nation,int_orders_enriched
stg_tpch_nation,mart_orders
stg_tpch_nation,mart_customers_orders_suppliers
stg_tpch_nation,int_ordering_habits_per_nation
stg_tpch_nation,mart_customers
stg_tpch_nation,mart_orders
stg_tpch_nation,mart_order_revenue
stg_tpch_nation,mart_customers_orders_suppliers
stg_tpch_nation,mart_order_revenue
stg_tpch_nation,mart_orders
stg_tpch_orders,int_customers_orders_analyzed
stg_tpch_orders,int_orders_aggregated
stg_tpch_orders,int_lineitem_revenue_copilot
stg_tpch_orders,int_revenue_model_example
stg_tpch_orders,int_ordering_habits_per_nation_copilot
stg_tpch_orders,int_parts_and_orders
stg_tpch_orders,int_orders_enriched
stg_tpch_orders,int_customers_aggregated_orders
stg_tpch_orders,int_customers_aggregated_orders_2
stg_tpch_orders,int_lineitem_sold_per_customer_copilot
stg_tpch_orders,int_lineitem_sold_per_customer
stg_tpch_orders,int_lineitems_aggregated_by_nation
stg_tpch_orders,int_revenue_per_customer
stg_tpch_orders,int_avg_revenue_per_customer_order_copilot
stg_tpch_orders,int_lineitem_revenue
stg_tpch_orders,mart_customers_orders_suppliers
stg_tpch_orders,mart_customers
stg_tpch_orders,int_customers_ordering_habits
stg_tpch_orders,int_parts_and_orders_enriched
stg_tpch_orders,int_avg_revenue_per_customer_order
stg_tpch_orders,mart_customers
stg_tpch_orders,mart_orders
stg_tpch_orders,mart_order_revenue
stg_tpch_orders,mart_customers
stg_tpch_orders,int_ordering_habits_per_nation
stg_tpch_orders,int_avg_revenue_per_customer_order
stg_tpch_orders,mart_sold_parts_by_region_with_date
stg_tpch_orders,mart_customers
stg_tpch_orders,int_ordering_habits_per_nation
stg_tpch_part,int_parts_and_orders
stg_tpch_part,int_parts_and_suppliers_by_region
stg_tpch_part,int_parts_and_orders_enriched
stg_tpch_part,mart_sold_parts_by_region_with_date
stg_tpch_partsupp,mart_order_revenue_copilot
stg_tpch_partsupp,int_parts_and_suppliers_by_region_copilot
stg_tpch_region,int_avg_revenue_per_customer_order_copilot
stg_tpch_region,mart_customer_data_copilot
stg_tpch_region,int_revenue_per_customer
stg_tpch_region,int_lineitem_revenue_copilot
stg_tpch_region,int_parts_and_suppliers_by_region_copilot
stg_tpch_region,mart_sold_parts_by_region_with_date_copilot
stg_tpch_region,int_parts_and_suppliers_by_region
stg_tpch_region,int_regions_and_nations
stg_tpch_region,mart_customer_data
